text,intent
كم عدد مستشفيات العزل فى مصر وما هى اماكنها,business location
ومخاصمك,nothing identified
متي ينتهي كورونا؟,the evolution of the virus
انا اسف,nothing identified
كام عدد الوفيات النهارده,infected cases
عارفه يا نميسا انا عندى ليكى عريس,crush
ما هي مرض كرونا والعلاج وطرق الوقابه,treatment
عدد الاصابات كرونه فى مصر,infected cases
والدي تعبان شويه وصدره بيوجعه مش عارف ده دور برد ولا كورونا ؟,most vulnerable
عدد الوفيات النهاردة كان في إيطاليا,infected cases
هل الفيروس كورنا يبقي علي. الملابس. والاحذية,transfer methods
التقرير النهارده كام,infected cases
طاهر إزاي البيت والملابس,sterilization and disinfection
هل مادة الفينيك تقتل الفيروسات بحيث يمكن استخدامها في تطهير العمارات والأسطح؟؟؟,sterilization and disinfection
كم عدد المصابين اليوم في مصر,infected cases
ماهى آخر تطورات كورونا فى السعوديه,infected cases
أهلا ناميسا,greeting
مرحبا,greeting
علاج لدعم المناعة,precautions
كم عدد الحالات فى قطر,infected cases
الاعداد في الصين,infected cases
منحنى كورونا فى ايطاليا,infected cases
الحالات الجديدة بمصر,infected cases
ممكن اعرف اعراض كورنا,symptoms
اعداد الحالات في جنوب أفريقيا و السودان,infected cases
النسبه المؤيه بالنسبه لعدد السكان,nothing identified
الحالات فى ايطاليا,infected cases
اعراض,symptoms
درجه الحراري تؤثر علي كورونا,warm weather
هل كورنا تنتشر عن طريق الهواء,transfer methods
كام عدد المصابين في السعودية,infected cases
اشكرك,reviews
ممكن اعرف اعراض الكورونا,symptoms
ما نسبة الشفاء الي الوفاه في مصر,infected cases
اعراض كرونا الاوليه,symptoms
أنا حاسس إن سخنه عندي صداع,assessment
أهلا نميسه,greeting
شكرًا,reviews
عدد الاصابات,infected cases
ماهو كورونا ؟,about corona virus
مصر,infected cases
الاعداد في فرنسا,infected cases
الحالات الإيجابية النهردا كام في مصر,infected cases
انا زعلان أوي,panic among the people
اخر دواء لكورونا,treatment
أنا خايف قوي,panic among the people
هل لبس القناع مهم ام لا,muzzle/mask
طرق العدوي,transfer methods
بروتوكول العلاج,treatment
هل يوجد علاج لفيروس كورونا الان,treatment
تقرير وزارة الصحة عن اليوم,infected cases
ما هي مستشفيات العزل في القاهرة ؟,business location
عدد الحالات الجديدة في السعودية,infected cases
في كام حالة في مصر النهاردة نميسة,infected cases
م,nothing identified
ماهي اعداد الاصابة في فرنسا ؟,infected cases
الزيك اهلا ومرحبا بحضراتكم,greeting
الاعداد,infected cases
اعرف ازاي اني مريض كورونا,symptoms
سبل الوقايه,precautions
متتن,nothing identified
كم عدد الاصابات في مصر و الكويت,infected cases
ليه توقيت معين ينتهي فيه ؟,the evolution of the virus
هل تم التوصل لعلاج لفيروس كورونا,treatment
اترك مسافة مقدارها كام بينى وبين شخص اخر,precautions
هلا,greeting
ما هي اضرار فيروس كورونا,about corona virus
والي متي ستستمر الكورونا,the evolution of the virus
اعراض الاصابة بكورونا,symptoms
صداع,assessment
اهل ممكن العدد تزي,infected cases
آه هي طرق انتقال فيروس كورونا,transfer methods
كيف أحمي نفسي,precautions
متشكر جدا,reviews
ما الجديد,greeting
كيف اطهر,sterilization and disinfection
كام عدد المصابين في أمريكا بالكرونه,infected cases
ده كده هيبوظ القماش ممكن طريقة تطهير اخري,sterilization and disinfection
اندونسيا,infected cases
عاوز اعرف طرق الوقايه من فيرس كرونا,precautions
اتمني لكم التوفيق لشباب مصر العظيمه,kindness
ايه الدوله ال مش فيها كورونا,nothing identified
كيفية الوقاية من فيرس كرونة,precautions
انا شاكه ان في حد من الجيران عندو الفيرس ايه الرقم اللي اتصل بيه عشان ابلغهم,emergency
انا اسالك ع فيروز كرونا بس,about corona virus
كم عد الحالات فى امريكا اليوم,infected cases
اكبر محافط فيه كرورنا,infected cases
طب مفيش حل لسه لي كرونا,treatment
ماهو تحليل pcr,laboratory
كم عدد حالات الكورونا في مصر اليوم,infected cases
هل ينتقل ڤيرس كرونا بالهواء,transfer methods
عاوز اعرف درجه حرارة المصاب بالكرونا بتبقي كام,symptoms
بالتوفيق ان شاء الله تعالى وربنا يحفظنا جميعاً يارب العالمين,prayers
اخويا مدخن بيشرب سجاير كتير ممكن الفيرس يجيلو بسببها ؟,smoking
هيا ايه اعراض الاصابة بالكورونا ؟,symptoms
ماهي عدد الحالات اليومية لمحافظة بورسعيد من ظهور الكرونا فيرس الى الان,infected cases
عايز اشحن الموبايل,nothing identified
هذه الحالات في مصر ولبنان,infected cases
متى ينتهي كرونا,the evolution of the virus
